"Key","ID","RecordKey","External key","Source","Rank","Taxon","Common name","Taxon group","Kingdom","Order","Family","TaxonVersionKey","Site name","Original map ref","Latitude","Longitude","Projection (input)","Precision","Output map ref","Projection (output)","Biotope","VC number","Vice County","Date interpreted","Date from","Date to","Date type","Sample method","Recorder","Determiner","Recorder certainty","Sex","Stage","Count of sex or stage","Zero abundance","Comment","Sample comment","Images","Input on date","Last edited on date","Verification status 1","Verification status 2","Query","Verifier","Verified on","Licence","Automated checks"
1,"12713280","iBRC12713280","17c32bff-3c3d-4a15-bdbc-152637d505bd","iRecord | iRecord App","Species","Oryctolagus cuniculus","European Rabbit","terrestrial mammal","Animalia","Lagomorpha","Leporidae","NHMSYS0000080219","Risley-Silver Lane","53.437N, 2.520W","53.43674","-2.51961999999999","WGS84","50","SJ655934","OSGB","","59","South Lancashire","15/11/2019","2019-11-15","2019-11-15","D","","Smith, Rob","","","","","6-20","false","","","","31/01/2020 20:54","05/02/2020 11:15","Accepted","Correct","","Parker, Tony","05/02/2020 11:15","","Passed checks"
2,"12712865","iBRC12712865","","iRecord | iRecord general data","Species","Turdus iliacus","Redwing","bird","Animalia","Passeriformes","Turdidae","NHMSYS0000530673","Kelsall","SJ53586783","53.2055463174751","-2.69636801299793","OSGB","10","SJ53586783","OSGB","Arable and horticultural land","58","Cheshire","31/01/2020","2020-01-31","2020-01-31","D","","Richardson, Steve","","Certain","not recorded","adult","2","false","","","o_1dvuf2r3gier19os3n12lf1qcle.jpg; ; CC BY-NC | o_1dvuf2r391lcjo81kd2185hm0d.jpg; ; CC BY-NC","31/01/2020 18:52","31/01/2020 18:52","Unconfirmed","Not reviewed","","","","","Passed checks"
3,"12712811","iBRC12712811","","iRecord | iRecord Import","Species","Javesella dubia","","insect - true bug (Hemiptera)","Animalia","Hemiptera","Delphacidae","NBNSYS0000010762","Croft, garden","SJ637932","53.4347756238406","-2.54710466662511","OSGB","100","SJ637932","OSGB","","59","South Lancashire","21/04/2019","2019-04-21","2019-04-21","D","Net","Brighton, Phil","Brighton, Phil","Certain","male","Adult","1","false","","Wadeson Way","","31/01/2020 17:48","23/02/2020 17:21","Accepted","Considered correct","","Stewart, Alan","23/02/2020 17:21","","Passed checks"
4,"12712810","iBRC12712810","","iRecord | iRecord Import","Species","Javesella dubia","","insect - true bug (Hemiptera)","Animalia","Hemiptera","Delphacidae","NBNSYS0000010762","Bickley Hall Farm","SJ526481","53.0285290364484","-2.70745370835759","OSGB","100","SJ526481","OSGB","","58","Cheshire","15/08/2019","2019-08-15","2019-08-15","D","Net","Brighton, Phil","Brighton, Phil","Uncertain","female","Adult","1","false","","Mown hay meadow","","31/01/2020 17:48","23/02/2020 17:21","Accepted","Considered correct","","Stewart, Alan","23/02/2020 17:21","","Failed checks"
5,"12712809","iBRC12712809","","iRecord | iRecord Import","Species","Javesella dubia","","insect - true bug (Hemiptera)","Animalia","Hemiptera","Delphacidae","NBNSYS0000010762","Chester Zoo Nature Reserve","SJ408707","53.2304786165015","-2.88755170649871","OSGB","100","SJ408707","OSGB","","58","Cheshire","21/05/2019","2019-05-21","2019-05-21","D","Net","Brighton, Phil","Brighton, Phil","Uncertain","female","Adult","1","false","","Open tree-planted area","","31/01/2020 17:48","23/02/2020 17:21","Accepted","Considered correct","","Stewart, Alan","23/02/2020 17:21","","Passed checks"
6,"12712808","iBRC12712808","","iRecord | iRecord Import","Species","Javesella dubia","","insect - true bug (Hemiptera)","Animalia","Hemiptera","Delphacidae","NBNSYS0000010762","Chester Zoo Nature Reserve","SJ406706","53.2295574923717","-2.89052874498043","OSGB","100","SJ406706","OSGB","","58","Cheshire","21/05/2019","2019-05-21","2019-05-21","D","Net","Brighton, Phil","Brighton, Phil","Certain","male","Adult","1","false","","Grassy meadow","","31/01/2020 17:48","23/02/2020 17:21","Accepted","Considered correct","","Stewart, Alan","23/02/2020 17:21","","Passed checks"
7,"12712807","iBRC12712807","","iRecord | iRecord Import","Species","Javesella dubia","","insect - true bug (Hemiptera)","Animalia","Hemiptera","Delphacidae","NBNSYS0000010762","Denhall Quay","SJ287759","53.2757243813015","-3.06994929851548","OSGB","100","SJ287759","OSGB","","58","Cheshire","30/08/2019","2019-08-30","2019-08-30","D","Net","Brighton, Phil","Brighton, Phil","Uncertain","female","Adult","1","false","","Salt marsh with sea aster","","31/01/2020 17:48","23/02/2020 17:21","Accepted","Considered correct","","Stewart, Alan","23/02/2020 17:21","","Passed checks"
8,"12712798","iBRC12712798","","iRecord | iRecord Import","Species","Conosanus obsoletus","","insect - true bug (Hemiptera)","Animalia","Hemiptera","Cicadellidae","NHMSYS0020705297","Burton Marsh","SJ301738","53.2570376979848","-3.04849636981554","OSGB","100","SJ301738","OSGB","","58","Cheshire","30/08/2019","2019-08-30","2019-08-30","D","Net","Brighton, Phil","Brighton, Phil","Certain","female","Adult","1","false","","Woodland edge","","31/01/2020 17:48","23/02/2020 17:21","Accepted","Considered correct","","Stewart, Alan","23/02/2020 17:21","","Passed checks"
9,"12712796","iBRC12712796","","iRecord | iRecord Import","Species","Arthaldeus pascuellus","","insect - true bug (Hemiptera)","Animalia","Hemiptera","Cicadellidae","NHMSYS0020705231","Burton Marsh","SJ301745","53.2633287811264","-3.04865029352068","OSGB","100","SJ301745","OSGB","","58","Cheshire","30/08/2019","2019-08-30","2019-08-30","D","Net","Brighton, Phil","Brighton, Phil","Certain","male","Adult","1","false","","Salt-marsh","","31/01/2020 17:48","23/02/2020 17:21","Accepted","Considered correct","","Stewart, Alan","23/02/2020 17:21","","Passed checks"
10,"12712765","iBRC12712765","","iRecord | iRecord Import","Species","Zyginidia scutellaris","","insect - true bug (Hemiptera)","Animalia","Hemiptera","Cicadellidae","NHMSYS0020705979","Culcheth","SJ642953","53.4536848605903","-2.53981832589036","OSGB","100","SJ642953","OSGB","","59","South Lancashire","26/02/2019","2019-02-26","2019-02-26","D","Net","Brighton, Phil","Brighton, Phil","Certain","mixed","Adult","1m, 3f","false","","11-acre LNR","","31/01/2020 17:34","23/02/2020 17:21","Accepted","Considered correct","","Stewart, Alan","23/02/2020 17:21","","Passed checks"
